author,title,classification_number,source_row
"Egan, Jennifer,",The candy house,PS3555.G292,489
"Cunningham, Michael,",The hours,PS3553.U484,490
"Буджолд, Лоис.",Лоис Буджолд.,PS3552.U397,491
"Young, Louisa.",Twelve months and a day,.T94 2023,492
"Азимов, Айзек .",Звезды как пыль,.Z38 2022,493
"Bronte, Emily.",Wuthering Heights,PS3545.H16,494
"Саймак, К.",Клиффорд Саймак.,.V18 2021,495
"Lovecraft, Howard Phillips.",The Call of Cthulchu,PS3523.O833,496
"Wolff, Jonathan.",Readings in moral philosophy,.W65 2018,497
"Керуак, Джек.",На дороге,PS3521.E755,498
"Джебран, Хамиль.",Хамиль Джебран.,PS3513.I25,499
"Fitzgerald, Francis Scott.",The great Gatsby,PS3511.I9,500
"Драйзер, Теодор.",Теодор Драйзер.,PS3507,501
"Драйзер, Теодор.",Теодор Драйзер.,PS3507.R55 v.1,502
"Драйзер, Теодор.",Теодор Драйзер.,PS3507.R55 v.2,503
"Драйзер, Теодор.",Теодор Драйзер.,PS3507.R55,504
"Драйзер, Теодор.",Финансист. Титан. Стоик,PS3507,506
"Брэдбери, Рэй.",Рэй Брэдбери.,PS3503.R167,507
"По, Эдгар Аллан.",Эдгар Аллан По.,PS2604.R8,508
"Poe, Edgar Allan.",The gold-bug,PS2602,509
"Anderson, Sherwood.",Sherwood Anderson.,PS3501.N4,510
"James, Henry.",The portrait of a lady,PS2116,511
"James, Henry.",The beast in the jungle. The figure in the carpet,PS2116,512
"Irving, Washington.",Washington Irving.,PS2067,513
"Сет, Викрам.",Достойный жених. Книга 2,.S83 2023 v.2,514
"Сет, Викрам.",Достойный жених. Книга 1,.S83 2023 v.1,515
"Brooks, Geraldine.",Year of wonders,.Y4 2001,516
"Moriarty, Liane.",The husband's secret,PR9619.4.M67,517
"Roberts, Gregory David.",Shantaram,.S53 2004,518
"Hart, Emilia,",Weyward,.W49 2023,519
"Фрейм, Дженет.",Под крики сов,PR9639.3.F7,520
"Zusak, Markus.",The book thief,PR9619.4.Z87,521
